Identifier,Taxa1,Taxa2,Taxa3
SMGC_1626,Virus,Mimiviridae,Mimiviridae
SMGC_1635,Virus,Siphoviridae,Siphoviridae
SMGC_1636,Virus,Siphoviridae,Siphoviridae
SMGC_1628,Virus,Myoviridae,Myoviridae
SMGC_1627,Virus,Siphoviridae,Siphoviridae
SMGC_1630,Virus,Podoviridae,Podoviridae
SMGC_1629,Virus,Siphoviridae,Siphoviridae
SMGC_1633,Virus,Siphoviridae,Siphoviridae
SMGC_1634,Virus,Siphoviridae,Siphoviridae
SMGC_1631,Virus,Siphoviridae,Siphoviridae
SMGC_1632,Virus,Myoviridae,Myoviridae
SMGC_1663,Virus,Myoviridae,Myoviridae
SMGC_1664,Virus,Myoviridae,Myoviridae
SMGC_1640,Virus,Siphoviridae,Siphoviridae
SMGC_1666,Virus,Myoviridae,Myoviridae
SMGC_1667,Virus,Siphoviridae,Siphoviridae
SMGC_1668,Virus,Siphoviridae,Siphoviridae
SMGC_1669,Virus,Siphoviridae,Siphoviridae
SMGC_1670,Virus,Myoviridae,Myoviridae
SMGC_1671,Virus,Myoviridae,Myoviridae
SMGC_1672,Virus,Myoviridae,Myoviridae
SMGC_1646,Virus,Unassigned,Unassigned
SMGC_1645,Virus,Siphoviridae,Siphoviridae
SMGC_1647,Virus,Siphoviridae,Siphoviridae
SMGC_1648,Virus,Siphoviridae,Siphoviridae
SMGC_1641,Virus,Siphoviridae,Siphoviridae
SMGC_1649,Virus,Podoviridae,Podoviridae
SMGC_1638,Virus,Myoviridae,Myoviridae
SMGC_1639,Virus,Other,Other
SMGC_1637,Virus,Siphoviridae,Siphoviridae
SMGC_1653,Virus,Other,Other
SMGC_1654,Virus,Podoviridae,Podoviridae
SMGC_1642,Virus,Siphoviridae,Siphoviridae
SMGC_1643,Virus,Myoviridae,Myoviridae
SMGC_1644,Virus,Myoviridae,Myoviridae
SMGC_1658,Virus,Unassigned,Unassigned
SMGC_1659,Virus,Other,Other
SMGC_1660,Virus,Other,Other
SMGC_1661,Virus,Myoviridae,Myoviridae
SMGC_1662,Virus,Myoviridae,Myoviridae
SMGC_1650,Virus,Myoviridae,Myoviridae
SMGC_1651,Virus,Myoviridae,Myoviridae
SMGC_1652,Virus,Other,Other
SMGC_1655,Virus,Siphoviridae,Siphoviridae
SMGC_1656,Virus,Unassigned,Unassigned
SMGC_1657,Virus,Myoviridae,Myoviridae
SMGC_1680,Virus,Podoviridae,Podoviridae
SMGC_1673,Virus,Myoviridae,Myoviridae
SMGC_1674,Virus,Other,Other
SMGC_1675,Virus,Myoviridae,Myoviridae
SMGC_1676,Virus,Myoviridae,Myoviridae
SMGC_1677,Virus,Myoviridae,Myoviridae
SMGC_1678,Virus,Inoviridae,Inoviridae
SMGC_1665,Virus,Siphoviridae,Siphoviridae
SMGC_1679,Virus,Siphoviridae,Siphoviridae
SMGC_1682,Virus,Siphoviridae,Siphoviridae
SMGC_1681,Virus,Other,Other
SMGC_1685,Virus,Siphoviridae,Siphoviridae
SMGC_1684,Virus,Siphoviridae,Siphoviridae
SMGC_1683,Virus,Siphoviridae,Siphoviridae
SMGC_1686,Virus,Siphoviridae,Siphoviridae
SMGC_1687,Virus,Other,Other
SMGC_1694,Virus,Siphoviridae,Siphoviridae
SMGC_1691,Virus,Siphoviridae,Siphoviridae
SMGC_1692,Virus,Siphoviridae,Siphoviridae
SMGC_1698,Virus,Siphoviridae,Siphoviridae
SMGC_1693,Virus,Other,Other
SMGC_1688,Virus,Siphoviridae,Siphoviridae
SMGC_1696,Virus,Siphoviridae,Siphoviridae
SMGC_1697,Virus,Siphoviridae,Siphoviridae
SMGC_1700,Virus,Unassigned,Unassigned
SMGC_1690,Virus,Polyomaviridae,Polyomaviridae
SMGC_1689,Virus,Phycodnaviridae,Phycodnaviridae
SMGC_1699,Virus,Phycodnaviridae,Phycodnaviridae
SMGC_1695,Virus,Unassigned,Unassigned
SMGC_1707,Virus,Myoviridae,Myoviridae
SMGC_1704,Virus,Siphoviridae,Siphoviridae
